Sıra,Plaka,İl Adı,Enlem,Boylam
1,1,ADANA,37,"35,321333"
2,2,ADIYAMAN,"37,764751","38,278561"
3,3,AFYONKARAHİSAR,"38,750714","30,556692"
4,4,AĞRI,"39,626922","43,021596"
5,68,AKSARAY,"38,36869","34,03698"
6,5,AMASYA,"40,64991","35,83532"
7,6,ANKARA,"39,92077","32,85411"
8,7,ANTALYA,"36,88414","30,70563"
9,75,ARDAHAN,"41,110481","42,702171"
10,8,ARTVİN,"41,18277","41,818292"
11,9,AYDIN,"37,856041","27,841631"
12,10,BALIKESİR,"39,648369","27,88261"
13,74,BARTIN,"41,581051","32,460979"
14,72,BATMAN,"37,881168","41,13509"
15,69,BAYBURT,"40,255169","40,22488"
16,11,BİLECİK,"40,056656","30,066524"
17,12,BİNGÖL,"39,062635","40,76961"
18,13,BİTLİS,"38,393799","42,12318"
19,14,BOLU,"40,575977","31,578809"
20,15,BURDUR,"37,461267","30,066524"
21,16,BURSA,"40,266864","29,063448"
22,17,ÇANAKKALE,"40,155312","26,41416"
23,18,ÇANKIRI,"40,601343","33,613421"
24,19,ÇORUM,"40,550556","34,955556"
25,20,DENİZLİ,"37,77652","29,08639"
26,21,DİYARBAKIR,"37,91441","40,230629"
27,81,DÜZCE,"40,843849","31,15654"
28,22,EDİRNE,"41,681808","26,562269"
29,23,ELAZIĞ,"38,680969","39,226398"
30,24,ERZİNCAN,"39,75","39,5"
31,25,ERZURUM,"39,9","41,27"
32,26,ESKİŞEHİR,"39,776667","30,520556"
33,27,GAZİANTEP,"37,06622","37,38332"
34,28,GİRESUN,"40,912811","38,38953"
35,29,GÜMÜŞHANE,"40,438588","39,508556"
36,30,HAKKARİ,"37,583333","43,733333"
37,31,HATAY,"36,401849","36,34981"
38,76,IĞDIR,"39,887984","44,004836"
39,32,ISPARTA,"37,764771","30,556561"
40,34,İSTANBUL,"41,00527","28,97696"
41,35,İZMİR,"38,41885","27,12872"
42,46,KAHRAMANMARAŞ,"37,585831","36,937149"
43,78,KARABÜK,"41,2061","32,62035"
44,70,KARAMAN,"37,17593","33,228748"
45,36,KARS,"40,616667","43,1"
46,37,KASTAMONU,"41,38871","33,78273"
47,38,KAYSERİ,"38,73122","35,478729"
48,71,KIRIKKALE,"39,846821","33,515251"
49,39,KIRKLARELİ,"41,733333","27,216667"
50,40,KIRŞEHİR,"39,14249","34,17091"
51,79,KİLİS,"36,718399","37,12122"
52,41,KOCAELİ,"40,85327","29,88152"
53,42,KONYA,"37,866667","32,483333"
54,43,KÜTAHYA,"39,416667","29,983333"
55,44,MALATYA,"38,35519","38,30946"
56,45,MANİSA,"38,619099","27,428921"
57,47,MARDİN,"37,321163","40,724477"
58,33,MERSİN,"36,8","34,633333"
59,48,MUĞLA,"37,215278","28,363611"
60,49,MUŞ,"38,946189","41,753893"
61,50,NEVŞEHİR,"38,69394","34,685651"
62,51,NİĞDE,"37,966667","34,683333"
63,52,ORDU,"40,983879","37,876411"
64,80,OSMANİYE,"37,213026","36,176261"
65,53,RİZE,"41,02005","40,523449"
66,54,SAKARYA,"40,693997","30,435763"
67,55,SAMSUN,"41,292782","36,33128"
68,56,SİİRT,"37,933333","41,95"
69,57,SİNOP,"42,02314","35,153069"
70,58,SİVAS,"39,747662","37,017879"
71,63,ŞANLIURFA,"37,159149","38,796909"
72,73,ŞIRNAK,"37,418748","42,491834"
73,59,TEKİRDAĞ,"40,983333","27,516667"
74,60,TOKAT,"40,316667","36,55"
75,61,TRABZON,"41,00145","39,7178"
76,62,TUNCELİ,"39,307355","39,438778"
77,64,UŞAK,"38,682301","29,40819"
78,65,VAN,"38,48914","43,40889"
79,77,YALOVA,"40,65","29,266667"
80,66,YOZGAT,"39,818081","34,81469"
81,67,ZONGULDAK,"41,456409","31,798731"
