,,İL / İLÇE,ALAN (km²),PLAKA
0,0,ADANA,13844,1
0,0,ADIYAMAN,7337,2
0,0,AFYONKARAHİSAR,14016,3
0,0,AĞRI,11099,4
0,0,AKSARAY,7659,68
0,0,AMASYA,5628,5
0,0,ANKARA,25632,6
0,0,ANTALYA,20177,7
0,0,ARDAHAN,4934,75
0,0,ARTVİN,7393,8
0,0,AYDIN,8116,9
0,0,BALIKESİR,14583,10
0,0,BARTIN,2330,74
0,0,BATMAN,4477,72
0,0,BAYBURT,3746,69
0,0,BİLECİK,4179,11
0,0,BİNGÖL,8003,12
0,0,BİTLİS,8294,13
0,0,BOLU,8313,14
0,0,BURDUR,7175,15
0,0,BURSA,10813,16
0,0,ÇANAKKALE,9817,17
0,0,ÇANKIRI,7542,18
0,0,ÇORUM,12428,19
0,0,DENİZLİ,12134,20
0,0,DİYARBAKIR,15101,21
0,0,DÜZCE,2492,81
0,0,EDİRNE,6145,22
0,0,ELAZIĞ,9383,23
0,0,ERZİNCAN,11815,24
0,0,ERZURUM,25006,25
0,0,ESKİŞEHİR,13960,26
0,0,GAZİANTEP,6803,27
0,0,GİRESUN,6972,28
0,0,GÜMÜŞHANE,6668,29
0,0,HAKKÂRİ,7095,30
0,0,HATAY,5524,31
0,0,IĞDIR,3664,76
0,0,ISPARTA,8946,32
0,0,İSTANBUL,5461,34
0,0,İZMİR,11891,35
0,0,KAHRAMANMARAŞ,14520,46
0,0,KARABÜK,4142,78
0,0,KARAMAN,8678,70
0,0,KARS,10193,36
0,0,KASTAMONU,13064,37
0,0,KAYSERİ,16970,38
0,0,KIRIKKALE,4791,71
0,0,KIRKLARELİ,6459,39
0,0,KIRŞEHİR,6584,40
0,0,KİLİS,1412,79
0,0,KOCAELİ,3397,41
0,0,KONYA,40838,42
0,0,KÜTAHYA,11634,43
0,0,MALATYA,12259,44
0,0,MANİSA,13339,45
0,0,MARDİN,8780,47
0,0,MERSİN,16010,33
0,0,MUĞLA,12654,48
0,0,MUŞ,8718,49
0,0,NEVŞEHİR,5485,50
0,0,NİĞDE,7234,51
0,0,ORDU,5914,52
0,0,OSMANİYE,3320,80
0,0,RİZE,3835,53
0,0,SAKARYA,4824,54
0,0,SAMSUN,9725,55
0,0,SİİRT,5717,56
0,0,SİNOP,5717,57
0,0,SİVAS,28164,58
0,0,ŞANLIURFA,19242,63
0,0,ŞIRNAK,7078,73
0,0,TEKİRDAĞ,6190,59
0,0,TOKAT,10042,60
0,0,TRABZON,4628,61
0,0,TUNCELİ,7582,62
0,0,UŞAK,5555,64
0,0,VAN,20921,65
