Plaka,Enlem,Boylam
1,37,"35,321333"
2,"37,764751","38,278561"
3,"38,750714","30,556692"
4,"39,626922","43,021596"
68,"38,36869","34,03698"
5,"40,64991","35,83532"
6,"39,92077","32,85411"
7,"36,88414","30,70563"
75,"41,110481","42,702171"
8,"41,18277","41,818292"
9,"37,856041","27,841631"
10,"39,648369","27,88261"
74,"41,581051","32,460979"
72,"37,881168","41,13509"
69,"40,255169","40,22488"
11,"40,056656","30,066524"
12,"39,062635","40,76961"
13,"38,393799","42,12318"
14,"40,575977","31,578809"
15,"37,461267","30,066524"
16,"40,266864","29,063448"
17,"40,155312","26,41416"
18,"40,601343","33,613421"
19,"40,550556","34,955556"
20,"37,77652","29,08639"
21,"37,91441","40,230629"
81,"40,843849","31,15654"
22,"41,681808","26,562269"
23,"38,680969","39,226398"
24,"39,75","39,5"
25,"39,9","41,27"
26,"39,776667","30,520556"
27,"37,06622","37,38332"
28,"40,912811","38,38953"
29,"40,438588","39,508556"
30,"37,583333","43,733333"
31,"36,401849","36,34981"
76,"39,887984","44,004836"
32,"37,764771","30,556561"
34,"41,00527","28,97696"
35,"38,41885","27,12872"
46,"37,585831","36,937149"
78,"41,2061","32,62035"
70,"37,17593","33,228748"
36,"40,616667","43,1"
37,"41,38871","33,78273"
38,"38,73122","35,478729"
71,"39,846821","33,515251"
39,"41,733333","27,216667"
40,"39,14249","34,17091"
79,"36,718399","37,12122"
41,"40,85327","29,88152"
42,"37,866667","32,483333"
43,"39,416667","29,983333"
44,"38,35519","38,30946"
45,"38,619099","27,428921"
47,"37,321163","40,724477"
33,"36,8","34,633333"
48,"37,215278","28,363611"
49,"38,946189","41,753893"
50,"38,69394","34,685651"
51,"37,966667","34,683333"
52,"40,983879","37,876411"
80,"37,213026","36,176261"
53,"41,02005","40,523449"
54,"40,693997","30,435763"
55,"41,292782","36,33128"
56,"37,933333","41,95"
57,"42,02314","35,153069"
58,"39,747662","37,017879"
63,"37,159149","38,796909"
73,"37,418748","42,491834"
59,"40,983333","27,516667"
60,"40,316667","36,55"
61,"41,00145","39,7178"
62,"39,307355","39,438778"
64,"38,682301","29,40819"
65,"38,48914","43,40889"
77,"40,65","29,266667"
66,"39,818081","34,81469"
67,"41,456409","31,798731"
